,Name,Address,Type,Built,Beds,Bath,Sqft,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
54,Cove,"601 E Pike St, Seattle, WA 98122",Apartment,2017.0,1,1.0,581.0,3,3.33,2650.0,684990.0,48,0,1798.0
55,Cove,"601 E Pike St, Seattle, WA 98122",Apartment,2017.0,1,1.0,522.0,3,3.33,2650.0,684990.0,48,0,1790.0
56,Cove,"601 E Pike St, Seattle, WA 98122",Apartment,2017.0,1,1.0,709.0,3,3.33,2650.0,684990.0,48,0,2565.0
57,Cove,"601 E Pike St, Seattle, WA 98122",Apartment,2017.0,2,2.0,826.0,3,3.33,2650.0,684990.0,48,0,2882.0
58,Icon Apartments,"400 S Jackson St, Seattle, WA 98104",Apartment,2016.0,1,1.0,535.0,5,3.6,2650.0,684990.0,45,1,1899.0
59,,"8460 48th Ave S, Seattle, WA 98118",Condo/Townhome/Row Home/Co-Op,2014.0,3,2.0,1256.0,5,3.8,2650.0,684990.0,1,0,2300.0
60,,"522W Mercer Pl Apt 303, Seattle, WA 98119",Single Family Home,2014.0,2,2.0,1159.0,4,8.5,2650.0,684990.0,0,0,3000.0
61,,"18910 8th Ave NW Apt 324, Shoreline, WA 98177",Single Family Home,2014.0,1,1.0,730.0,6,5.5,2395.0,642500.0,0,0,1295.0
62,,"4238 Evanston Ave N, Seattle, WA 98103",Condo/Townhome/Row Home/Co-Op,2014.0,1,1.0,750.0,5,7.8,2650.0,684990.0,0,2,1695.0
63,Thornton Place,"337 NE 103rd St, Seattle, WA 98125",Apartment,2009.0,0,1.0,796.0,3,5.67,2650.0,684990.0,74,0,2225.0
64,Thornton Place,"337 NE 103rd St, Seattle, WA 98125",Apartment,2009.0,1,1.0,781.0,3,5.67,2650.0,684990.0,74,0,2035.0
65,Thornton Place,"337 NE 103rd St, Seattle, WA 98125",Apartment,2009.0,1,1.0,621.0,3,5.67,2650.0,684990.0,74,0,1830.0
66,Thornton Place,"337 NE 103rd St, Seattle, WA 98125",Apartment,2009.0,1,1.0,665.0,3,5.67,2650.0,684990.0,74,0,1760.0
67,Thornton Place,"337 NE 103rd St, Seattle, WA 98125",Apartment,2009.0,1,1.0,682.0,3,5.67,2650.0,684990.0,74,0,1710.0
68,,"320 SW 160th Street 320 SW 160th St, Burien, WA 98166",Apartment,2014.0,2,1.0,950.0,5,3.0,1795.0,472500.0,1,0,1495.0
69,,"1714 14th Avenue 1714 14th Ave, Seattle, WA 98122",Apartment,2018.0,1,1.0,506.0,4,3.5,2650.0,684990.0,1,0,1750.0
70,,"2100 N 106th St Unit 301, Seattle, WA 98133",Single Family Home,2014.0,2,1.0,735.0,4,4.5,2650.0,684990.0,0,2,1500.0
71,,"7001 Rainier Ave S 7001 Rainier Ave S, Seattle, WA 98118",Apartment,1959.0,1,1.0,570.0,5,3.6,2650.0,684990.0,1,0,1250.0
72,,"7001 Rainier Ave S 7001 Rainier Ave S, Seattle, WA 98118",Apartment,1959.0,1,1.0,570.0,5,3.6,2650.0,684990.0,1,0,1250.0
