,Address,Sqft,Beds,Bath,Type,Built,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
1056,"9050 Greenwood Ave N 9050 Greenwood Ave N, Seattle, WA 98103",539.0,1,1.0,Apartment,2014.0,4,5.25,2650.0,684990.0,1,0,1565.0
1057,"9050 Greenwood Ave N 9050 Greenwood Ave N, Seattle, WA 98103",629.0,2,1.0,Apartment,2014.0,4,5.25,2650.0,684990.0,1,0,1810.0
1058,"910 10th Ave E 910 10th Ave E, Seattle, WA 98102",518.0,1,1.0,Apartment,2014.0,3,4.33,2650.0,684990.0,1,0,1570.0
1059,"910 8th Ave, Seattle, WA 98104",475.0,0,1.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,1685.0
1060,"910 8th Ave, Seattle, WA 98104",503.0,0,1.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,1745.0
1061,"910 8th Ave, Seattle, WA 98104",659.0,1,1.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,2180.0
1062,"910 8th Ave, Seattle, WA 98104",786.0,1,1.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,2183.0
1063,"910 8th Ave, Seattle, WA 98104",820.0,1,1.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,2305.0
1064,"910 8th Ave, Seattle, WA 98104",972.0,2,2.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,2810.0
1065,"910 8th Ave, Seattle, WA 98104",1238.0,2,2.0,Apartment,2007.0,4,3.25,2650.0,684990.0,37,0,3690.0
1066,"910 Lenora St Unit S607, Seattle, WA 98121",1212.0,2,2.0,Other,2014.0,4,4.75,2650.0,684990.0,0,0,3800.0
1067,"917 NE 72nd St, Seattle, WA 98115",880.0,2,1.0,Single Family Home,2014.0,4,8.25,2650.0,684990.0,0,0,2250.0
1068,"9176 Holman Rd NW, Seattle, WA 98117",507.0,0,1.0,Apartment,2017.0,5,7.2,2650.0,684990.0,45,0,1460.0
1069,"9176 Holman Rd NW, Seattle, WA 98117",716.0,1,1.0,Apartment,2017.0,5,7.2,2650.0,684990.0,45,0,1800.0
1070,"9176 Holman Rd NW, Seattle, WA 98117",763.0,1,1.0,Apartment,2017.0,5,7.2,2650.0,684990.0,45,0,1835.0
1071,"9176 Holman Rd NW, Seattle, WA 98117",1007.0,2,2.0,Apartment,2017.0,5,7.2,2650.0,684990.0,45,0,2455.0
1072,"920 N 34th St, Seattle, WA 98103",464.0,1,1.0,Apartment,1990.0,5,8.0,2650.0,684990.0,28,0,1605.0
1073,"920 N 34th St, Seattle, WA 98103",586.0,1,1.0,Apartment,1990.0,5,8.0,2650.0,684990.0,28,0,1760.0
1074,"920 N 34th St, Seattle, WA 98103",715.0,2,1.0,Apartment,1990.0,5,8.0,2650.0,684990.0,28,0,2425.0
1075,"920 N 34th St, Seattle, WA 98103",762.0,2,1.0,Apartment,1990.0,5,8.0,2650.0,684990.0,28,0,2370.0
1076,"928 N 97th St, Seattle, WA 98103",800.0,2,1.0,Condo/Townhome/Row Home/Co-Op,2014.0,3,4.67,2650.0,684990.0,0,0,1475.0
1077,"929 N 98th St Seattle, WA 98103 929 N 98th St, Seattle, WA 98103",600.0,1,1.0,Apartment,2014.0,3,4.67,2650.0,684990.0,0,0,1195.0
1078,"9428 Ravenna Ave NE 9428 Ravenna Ave NE, Seattle, WA 98115",528.0,1,1.0,Apartment,1970.0,5,6.6,2650.0,684990.0,1,0,1250.0
1079,"9428 Ravenna Ave NE 9428 Ravenna Ave NE, Seattle, WA 98115",535.0,1,1.0,Apartment,1970.0,5,6.6,2650.0,684990.0,1,0,1250.0
1080,"9428 Ravenna Ave NE 9428 Ravenna Ave NE, Seattle, WA 98115",834.0,2,1.0,Apartment,1970.0,5,6.6,2650.0,684990.0,1,0,1695.0
1081,"9515 Interlake Ave N 9515 Interlake Ave N, Seattle, WA 98103",715.0,2,1.0,Apartment,1987.0,3,4.67,2650.0,684990.0,1,0,1750.0
1082,"9515 Interlake Ave N 9515 Interlake Ave N, Seattle, WA 98103",850.0,2,2.0,Apartment,1987.0,3,4.67,2650.0,684990.0,1,0,1750.0
1083,"9600 9th Ave NW Apt 101, Seattle, WA 98117",429.0,0,1.0,Apartment,2014.0,5,6.2,2650.0,684990.0,5,0,1000.0
1084,"9600 9th Ave NW Apt 101, Seattle, WA 98117",739.0,1,1.0,Apartment,2014.0,5,6.2,2650.0,684990.0,5,0,1300.0
1085,"9600 9th Ave NW Apt 101, Seattle, WA 98117",739.0,2,1.0,Apartment,2014.0,5,6.2,2650.0,684990.0,5,0,1500.0
1086,"9600 9th Ave NW Apt 101, Seattle, WA 98117",975.0,2,2.0,Apartment,2014.0,5,6.2,2650.0,684990.0,5,0,1650.0
1087,"970 Denny Way, Seattle, WA 98109",594.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,2715.0
1088,"970 Denny Way, Seattle, WA 98109",739.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,3300.0
1089,"970 Denny Way, Seattle, WA 98109",842.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,3115.0
1090,"970 Denny Way, Seattle, WA 98109",880.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,3981.0
1091,"970 Denny Way, Seattle, WA 98109",1111.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,6935.0
1092,"970 Denny Way, Seattle, WA 98109",1169.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,5205.0
1093,"970 Denny Way, Seattle, WA 98109",1327.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,7710.0
1094,"970 Denny Way, Seattle, WA 98109",1460.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,8315.0
1095,"970 Denny Way, Seattle, WA 98109",1615.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,9215.0
1096,"970 Denny Way, Seattle, WA 98109",1719.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,9885.0
1097,"970 Denny Way, Seattle, WA 98109",1948.0,3,3.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,11075.0
1098,"970 Denny Way, Seattle, WA 98109",2417.0,3,3.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,14585.0
1099,"970 Denny Way, Seattle, WA 98109",3033.0,3,3.0,Apartment,2018.0,3,6.0,2650.0,684990.0,33,0,19265.0
